Name,Positions,Playtime,Goals,Assists,ShotsAveragePerGame,PassSuccess
Boubacar Kamara,",  D(CL),DMC  ",671	,-	,-	,0.2	,83.5	
Issiaga Sylla,",  D(LR),M(L)  ",1051	,-	,-	,0.5	,79.3	
Alban Lafont,",  GK  ",1260	,-	,-	,-	,63.1	
Benjamin Henrichs,",  D(LR),DMC,M(LR)  ",974	,-	,1	,0.9	,73.2	
Kevin Akpoguma,",  D(CR),M(R)  ",836	,-	,-	,0.2	,78.7	
Mërgim Vojvoda,",  D(CR),M(LR)  ",448	,-	,3	,0.3	,81.9	
Sergio Akieme,",  D(L)  ",1260	,-	,-	,1.1	,81	
Brendan Chardonnet,",  D(C)  ",1215	,-	,-	,0.4	,83.2	
Moussa Sissoko,",  M(CR)  ",703	,1	,-	,0.8	,76.4	
Eljif Elmas,",  M(CLR)  ",530	,3	,1	,0.8	,83.8	
Krépin Diatta,",  M(LR),FW  ",877	,1	,-	,1.3	,83.6	
Diogo Leite,",  D(C)  ",1099	,-	,1	,0.5	,80	
Éderson,",  M(C)  ",744	,-	,-	,1.2	,78.9	
MBala Nzola,",  FW  ",1350	,7	,-	,2.3	,80.4	
Jakub Kiwior,",  D(C),DMC  ",1291	,-	,-	,0.7	,85.9	
Kasper Schmeichel,",  GK  ",1170	,-	,-	,-	,73.5	
Pierre Lees-Melou,",  M(CLR)  ",973	,2	,-	,1.3	,86	
Luiz Henrique,",  AM(LR)  ",745	,-	,1	,1.3	,76.1	
Álex Remiro,",  GK  ",1260	,-	,-	,-	,72.1	
Yunus Musah,",  AM(CR)  ",849	,-	,2	,0.7	,82.8	
Robin Zentner,",  GK  ",1350	,-	,-	,-	,47.6	
Riyad Mahrez,",  AM(CLR),FW  ",371	,1	,-	,1.3	,90	
Rubén García,",  AM(CLR),FW  ",422	,1	,2	,1	,82.9	
Andreaw Gravillon,",  D(CR)  ",1035	,-	,-	,0.7	,75.8	
Jadon Sancho,",  AM(CLR)  ",723	,2	,1	,0.7	,83.2	
Musa Barrow,",  AM(CL),FW  ",692	,2	,1	,2.4	,76.1	
Koffi Djidji,",  D(CL)  ",1075	,1	,-	,0.3	,86.3	
Arbër Zeneli,",  AM(LR),FW  ",676	,-	,2	,1.6	,76.3	
Matz Sels,",  GK  ",1350	,-	,-	,-	,64.1	
Zakaria Aboukhlal,",  AM(LR)  ",1174	,3	,3	,2.4	,71.3	
Anthony Modeste,",  FW  ",720	,2	,1	,1.6	,60.2	
Stefan Bell,",  D(CR)  ",891	,-	,-	,0.2	,80.6	
Khéphren Thuram,",  DMC  ",910	,-	,2	,0.4	,88.9	
Marcel Halstenberg,",  D(CL),M(L)  ",677	,-	,1	,0.3	,85.3	
Aimar Oroz,",  AM(C)  ",778	,2	,1	,0.8	,80.1	
Niklas Süle,",  D(CR)  ",787	,1	,1	,0.9	,88.6	
Oumar Gonzalez,",  D(C)  ",948	,-	,-	,0.5	,84.3	
Danny Ings,",  AM(C),FW  ",725	,5	,-	,1.7	,74.6	
Marc Cucurella,",  D(CL),M(L)  ",851	,-	,2	,0.4	,86.3	
Antonio Sanabria,",  FW  ",682	,2	,1	,1.7	,73.7	
Íñigo Ruíz de Galarreta,",  DMC  ",858	,-	,-	,0.6	,86.3	
Daniel Carvajal,",  D(R)  ",877	,-	,1	,0.5	,87.1	
Josh Doig,",  D(CL),M(L)  ",498	,2	,1	,0.9	,69.4	
Gabri Veiga,",  M(C)  ",576	,3	,1	,1.2	,79.7	
Douglas Luiz,",  M(C)  ",929	,1	,2	,0.6	,85.1	
Gary Medel,",  D(C),DMC  ",1142	,-	,1	,0.1	,88.5	
Marcos Acuña,",  D(CL),M(CL)  ",554	,-	,-	,0.9	,77.3	
Simon Terodde,",  FW  ",1058	,3	,-	,1.8	,67.6	
Ruslan Malinovskyi,",  M(CR),FW  ",539	,1	,2	,1.4	,79.5	
José Sá,",  GK  ",1350	,-	,-	,-	,69.9	
Dean Henderson,",  GK  ",1350	,-	,-	,-	,57.5	
Rico Henry,",  D(L),M(L)  ",1347	,-	,1	,0.5	,75.6	
João Moutinho,",  M(C)  ",1000	,-	,-	,0.7	,85.8	
David Raum,",  D(L),M(LR)  ",1035	,-	,1	,0.5	,80.6	
Martin Erlic,",  D(C)  ",869	,-	,-	,-	,88.8	
Isco,",  M(CLR),FW  ",803	,-	,2	,0.3	,86.8	
Paul Jaeckel,",  D(C),DMC  ",798	,1	,-	,0.2	,79.9	
Robin Le Normand,",  D(C)  ",815	,-	,-	,0.1	,92.8	
Marc Guéhi,",  D(C)  ",1260	,-	,-	,0.3	,89	
Jacob Ramsey,",  AM(C)  ",1026	,2	,2	,0.7	,84.6	
Vincent Marchetti,",  M(C)  ",1206	,-	,1	,1.3	,82	
Chidera Ejuke,",  AM(CLR),FW  ",791	,-	,3	,1.4	,82.7	
Maxime Lopez,",  M(CR)  ",1081	,-	,-	,0.5	,88.7	
Thibaut Courtois,",  GK  ",900	,-	,-	,-	,82.2	
Norbert Gyömbér,",  D(CR),DMC  ",736	,-	,-	,0.2	,87	
Marco Richter,",  AM(CLR),FW  ",526	,3	,2	,1.7	,68.7	
Kamaldeen Sulemana,",  AM(L)  ",258	,1	,-	,0.9	,86	
Niko Gießelmann,",  D(CL),M(L)  ",653	,-	,2	,1.1	,74.9	
Callum Hudson-Odoi,",  M(CLR)  ",480	,-	,1	,0.2	,89	
Jarrod Bowen,",  AM(CLR),FW  ",1343	,2	,-	,2.3	,74	
Donyell Malen,",  AM(L),FW  ",679	,-	,1	,1.8	,77.9	
Micky van de Ven,",  D(C)  ",1350	,1	,-	,0.4	,88.4	
Abdelhamid Sabiri,",  AM(CL),FW  ",844	,1	,-	,2.2	,73.1	
Stéphane Diarra,",  AM(R)  ",620	,1	,-	,1	,70.3	
Melvin Bard,",  D(L)  ",927	,-	,-	,0.2	,83.1	
Antonee Robinson,",  D(L),M(L)  ",1109	,-	,-	,0.1	,75.1	
Lewis Cook,",  M(CL)  ",1193	,-	,2	,0.2	,80.9	
David Silva,",  M(CLR),FW  ",827	,-	,-	,1	,86.6	
Andrea Cambiaso,",  D(R),M(L)  ",911	,-	,2	,0.5	,78.6	
Birama Touré,",  DMC  ",1336	,-	,-	,0.7	,84.5	
Andrej Kramaric,",  AM(CLR),FW  ",1031	,3	,2	,1.7	,80.3	
Cengiz Ünder,",  AM(CLR)  ",554	,-	,1	,1.1	,75	
Joe Rodon,",  D(C)  ",808	,1	,-	,0.8	,89.2	
Monchu,",  DMC  ",657	,1	,1	,0.7	,81.4	
Jorginho,",  DMC  ",906	,2	,-	,0.4	,84.6	
John McGinn,",  M(C)  ",1059	,-	,-	,1.2	,79.6	
Igor Zubeldia,",  D(C),DMC  ",719	,1	,-	,0.4	,87.2	
Santiago Ascacíbar,",  DMC  ",701	,-	,-	,1.2	,82.2	
Dani Rodríguez,",  AM(CLR)  ",694	,-	,2	,0.5	,82.4	
Jonathan Ikoné,",  AM(CLR),FW  ",835	,2	,2	,1.5	,84.9	
Maximilian Kilman,",  D(C)  ",1350	,-	,-	,0.3	,83.4	
Juan Musso,",  GK  ",818	,-	,-	,-	,66.9	
Joel Ward,",  D(CLR),DMC,M(R)  ",1021	,-	,-	,-	,76.1	
Pierre Kalulu,",  D(CR)  ",1038	,-	,-	,0.5	,89.1	
Tiago Tomás,",  AM(CR),FW  ",726	,2	,2	,1.3	,60.9	
Rayan Cherki,",  AM(R)  ",215	,-	,3	,0.8	,81.5	
Joris Chotard,",  DMC  ",956	,-	,1	,0.3	,82.6	
Moise Kean,",  AM(LR),FW  ",487	,4	,-	,1.5	,75.8	
Julian Weigl,",  D(C),DMC  ",903	,-	,-	,0.2	,88.1	
Anthony Lopes,",  GK  ",1017	,-	,-	,-	,78	
Jonny,",  D(CLR),M(LR)  ",982	,-	,-	,0.7	,85.4	
José Fonte,",  D(C)  ",1260	,1	,-	,0.6	,89.7	
Pathé Ciss,",  DMC  ",638	,1	,-	,0.8	,85.8	
Unai García,",  D(C)  ",1119	,-	,1	,0.3	,79.5	
Moussa Djenepo,",  M(LR)  ",524	,-	,1	,0.2	,77.2	
Pervis Estupiñán,",  D(L)  ",635	,-	,-	,0.4	,81.2	
Amos Pieper,",  D(C)  ",1104	,-	,1	,0.5	,78.3	
Jordan Lotomba,",  D(LR),M(R)  ",934	,-	,-	,0.4	,84.7	
Rodrigo Ely,",  D(C)  ",1235	,-	,-	,0.6	,83.2	
Iván Balliu,",  D(R),M(R)  ",1260	,-	,-	,0.3	,82	
Sandi Lovric,",  AM(C)  ",770	,2	,1	,1.9	,83.3	
Christopher Trimmel,",  D(CR),M(R)  ",927	,-	,2	,0.5	,64.9	
Maxime Le Marchand,",  D(CL)  ",971	,-	,-	,0.3	,81	
Danny Ward,",  GK  ",1350	,-	,-	,-	,70.2	
Óscar Gil,",  D(R)  ",870	,-	,1	,0.5	,80.3	
David Alaba,",  D(CL),M(CL)  ",1167	,1	,3	,0.6	,90.2	
Naouirou Ahamada,",  M(C)  ",1241	,2	,-	,1	,85.4	
Noah Fadiga,",  D(R)  ",655	,1	,-	,0.8	,82.3	
Amine Harit,",  AM(CLR),FW  ",515	,-	,-	,0.6	,84.4	
Aitor Ruibal,",  D(R),M(LR)  ",558	,-	,-	,0.5	,77.6	
Tyrone Mings,",  D(CL)  ",1170	,-	,-	,0.1	,83	
David de Gea,",  GK  ",1260	,-	,-	,-	,65.5	
Ronaël Pierre-Gabriel,",  D(CLR),M(R)  ",636	,-	,1	,0.2	,79.9	
Conor Coady,",  D(CR),DMC  ",1251	,1	,1	,0.2	,85.3	
Yassine Bounou,",  GK  ",1037	,-	,-	,-	,69.4	
Scott McTominay,",  D(C),DMC  ",637	,-	,-	,0.5	,82.3	
Julián Álvarez,",  AM(R),FW  ",358	,3	,-	,0.9	,86.8	
Alessandro Bastoni,",  D(C)  ",732	,-	,1	,0.4	,87.8	
Omar Marmoush,",  AM(L),FW  ",689	,2	,-	,1.6	,64.6	
Kiliann Sildillia,",  D(R)  ",1160	,-	,2	,0.4	,75.1	
Colin Dagba,",  D(R),M(R)  ",465	,-	,-	,0.2	,85.1	
Rodrigo De Paul,",  AM(CLR),FW  ",674	,1	,1	,0.7	,84	
Jonathan Tah,",  D(C)  ",1221	,1	,-	,0.4	,89.3	
Matías Vecino,",  M(C)  ",814	,1	,-	,1.1	,84.5	
Lilian Brassier,",  D(CL)  ",1202	,-	,-	,0.4	,79.2	
Matteo Darmian,",  D(CLR),M(LR)  ",502	,-	,2	,-	,78	
Jeffrey Schlupp,",  D(L),M(CLR)  ",1096	,-	,-	,0.9	,80	
Kristijan Jakic,",  D(CR),DMC  ",1011	,1	,-	,0.4	,77.2	
Lucas Chevalier,",  GK  ",810	,-	,-	,-	,60.4	
Maxime Gonalons,",  D(C),M(C)  ",534	,1	,-	,0.3	,89.1	
Mohamed Youssouf,",  D(R)  ",844	,-	,-	,0.1	,75.5	
Conor Gallagher,",  AM(C)  ",501	,1	,1	,0.7	,81.3	
Serhou Guirassy,",  AM(L),FW  ",780	,4	,-	,2	,66.5	
Marvin Friedrich,",  D(C)  ",961	,1	,-	,0.5	,85.8	
Lovro Majer,",  AM(CR)  ",566	,1	,2	,0.9	,84.6	
Davinson Sánchez,",  D(C)  ",530	,-	,-	,0.3	,88.1	
Julien Ponceau,",  AM(C)  ",773	,-	,2	,0.6	,83.8	
Ruben Loftus-Cheek,",  M(CLR)  ",958	,-	,-	,0.6	,86.4	
Ryan Yates,",  DMC  ",1034	,-	,1	,1.3	,80.7	
Josh Dasilva,",  M(C)  ",687	,2	,1	,0.6	,83.2	
Luis Muriel,",  AM(CL),FW  ",524	,1	,2	,1	,67.6	
Salih Özcan,",  M(C)  ",889	,-	,1	,0.1	,87.8	
Krzysztof Piatek,",  FW  ",679	,3	,1	,1.9	,78.5	
Jordan Ferri,",  M(C)  ",1088	,-	,2	,0.3	,86	
Joan Gonzàlez,",  M(C)  ",1118	,1	,2	,0.6	,77.8	
Kamory Doumbia,",  AM(C)  ",716	,1	,1	,1.1	,81	
kiko Femenia,",  D(LR),M(R)  ",850	,-	,-	,-	,88.1	
Luis Sinisterra,",  AM(LR),FW  ",456	,2	,-	,1.1	,84.1	
Sergio Canales,",  M(CLR)  ",860	,1	,-	,0.6	,81.8	
Luca Caldirola,",  D(CL)  ",895	,-	,-	,0.3	,90.3	
Emiliano Buendía,",  M(CLR)  ",727	,1	,-	,1.1	,81.3	
Jordan Henderson,",  D(C),M(CLR)  ",647	,-	,-	,0.8	,82.7	
Philipp Förster,",  M(CLR),FW  ",655	,1	,2	,0.8	,79.8	
Tomás Rincón,",  M(CR)  ",1092	,-	,2	,0.6	,82.2	
Andrea Colpani,",  Midfielder  ",336	,2	,-	,1	,87.3	
Renato Sanches,",  M(CR)  ",316	,2	,-	,0.6	,93.5	
Antonino Gallo,",  D(L)  ",914	,-	,1	,0.2	,71.2	
Adrien Hunou,",  AM(CLR),FW  ",1096	,3	,1	,1.5	,75.2	
Eduardo Camavinga,",  DMC  ",506	,-	,-	,0.6	,91.5	
Marco Bizot,",  GK  ",1260	,-	,-	,-	,67.1	
Jens Cajuste,",  DMC  ",525	,-	,1	,0.6	,80.8	
Richarlison,",  AM(CLR),FW  ",438	,-	,2	,1.3	,75.4	
Christoph Kramer,",  M(C)  ",1187	,-	,-	,0.3	,83.5	
Carles Aleñá,",  AM(CLR)  ",1030	,2	,2	,1	,80.3	
Leonardo Bittencourt,",  M(CLR),FW  ",578	,2	,-	,0.7	,76.4	
Anthony Losilla,",  D(C),DMC  ",1330	,-	,-	,0.7	,71.2	
Jefferson Lerma,",  D(R),DMC  ",1350	,2	,-	,0.9	,82.6	
Ignatius Ganago,",  AM(LR),FW  ",508	,3	,2	,0.9	,70.1	
Joël Veltman,",  D(CR),M(R)  ",950	,-	,-	,0.3	,83.8	
Ryan Christie,",  AM(CLR),FW  ",722	,1	,-	,1.1	,83.8	
Edmond Tapsoba,",  D(C)  ",1314	,-	,-	,0.3	,86.4	
Cédric Brunner,",  D(CR)  ",1020	,-	,-	,0.3	,73.5	
Assan Ceesay,",  FW  ",892	,3	,-	,1.3	,60.2	
Manu Sánchez,",  D(L)  ",466	,-	,1	,0.4	,83.4	
Samuel Gigot,",  D(C)  ",721	,2	,-	,0.5	,86.9	
Marcus Ingvartsen,",  AM(CR),FW  ",460	,4	,-	,1.8	,64	
Ben Chilwell,",  D(L),M(L)  ",418	,1	,1	,0.3	,82	
Ryan Sessegnon,",  D(L),M(LR)  ",663	,2	,-	,1.3	,72.5	
Elbasan Rashani,",  AM(LR)  ",769	,1	,1	,0.9	,79.5	
Joe Scally,",  D(R),M(R)  ",1305	,-	,-	,0.3	,77.1	
Valentin Gendrey,",  D(R)  ",1182	,-	,-	,0.1	,75.1	
Yangel Herrera,",  M(C)  ",634	,-	,2	,1.3	,81.3	
Charles De Ketelaere,",  M(CLR),FW  ",576	,-	,1	,0.7	,76.1	
Francesco Acerbi,",  D(C)  ",658	,-	,1	,0.3	,88.7	
Rogerio,",  D(L),M(L)  ",1154	,-	,2	,0.2	,83.6	
Ivan Ordets,",  D(C)  ",1037	,-	,-	,0.3	,73.7	
Giacomo Raspadori,",  AM(CL),FW  ",517	,1	,-	,2.1	,79.3	
Dylan Bronn,",  D(C)  ",978	,-	,-	,0.4	,84.7	
Vanja Milinkovic-Savic,",  GK  ",1350	,-	,-	,-	,54.5	
Alessandro Buongiorno,",  D(C)  ",908	,-	,-	,0.5	,81	
Danilo Soares,",  D(L),M(L)  ",827	,-	,-	,0.1	,72.8	
Jan Oblak,",  GK  ",1053	,-	,-	,-	,57.5	
Aaron Hickey,",  D(LR),M(LR)  ",684	,-	,-	,0.3	,83.1	
Yohann Magnin,",  DMC  ",939	,-	,-	,0.5	,85	
Sergio León,",  FW  ",627	,5	,1	,1.2	,67.9	
Evann Guessand,",  AM(R),FW  ",635	,1	,2	,0.7	,79.5	
Pere Milla,",  AM(CL),FW  ",806	,3	,1	,0.8	,76.1	
Kevin Behrens,",  FW  ",442	,2	,1	,0.5	,63.6	
Édouard Mendy,",  GK  ",765	,-	,-	,-	,75.7	
Giorgio Scalvini,",  D(C)  ",648	,1	,-	,0.4	,74.4	
Luka Lochoshvili,",  D(C)  ",971	,-	,1	,0.3	,80.8	
Joseph Aidoo,",  D(C)  ",1260	,1	,-	,0.4	,85.5	
Jean-Clair Todibo,",  D(C)  ",1073	,-	,-	,0.2	,89.1	
José Ángel Carmona,",  D(C)  ",443	,2	,1	,0.6	,84	
Mohamed Elyounoussi,",  AM(CLR),FW  ",988	,-	,1	,1.5	,69.2	
Kieffer Moore,",  FW  ",750	,4	,-	,0.7	,60.3	
Marco Asensio,",  AM(CLR),FW  ",179	,1	,2	,0.9	,96.5	
Patrick Ciurria,",  M(R)  ",771	,-	,3	,1.1	,82.9	
Divock Origi,",  AM(LR),FW  ",432	,1	,1	,1.5	,70.9	
Gerrit Holtmann,",  D(L),M(LR)  ",733	,1	,1	,1.8	,69.3	
Samuel Chukwueze,",  AM(CR)  ",534	,-	,1	,1.1	,76	
Nathan Collins,",  D(CR)  ",1023	,-	,-	,-	,89.7	
Adam Lallana,",  M(CLR)  ",495	,1	,1	,0.5	,84.1	
Sebastiaan Bornauw,",  D(C)  ",727	,-	,-	,0.2	,81.2	
Sam Lammers,",  FW  ",886	,1	,1	,2	,63.6	
Giovanni Reyna,",  AM(CLR)  ",363	,2	,-	,0.9	,74.2	
Alexander Hack,",  D(C)  ",992	,-	,-	,0.2	,74.6	
Leandro Cabrera,",  D(CL)  ",1108	,-	,-	,0.9	,74.5	
Ángel Correa,",  AM(CLR),FW  ",509	,3	,-	,1.4	,82.9	
Brecht Dejaegere,",  AM(C)  ",776	,3	,-	,0.8	,80.4	
Neeskens Kebano,",  AM(CLR)  ",719	,-	,3	,0.8	,80.4	
Adam Webster,",  D(C)  ",1170	,-	,-	,0.9	,86.5	
André Gomes,",  M(CLR)  ",537	,-	,-	,0.8	,85	
Alex Telles,",  D(L),M(L)  ",752	,-	,2	,0.3	,80.5	
Nicolas Jackson,",  FW  ",777	,2	,2	,1.2	,72.7	
Jeff Reine-Adélaïde,",  AM(CLR),FW  ",305	,-	,-	,0.8	,89.6	
Tobias Mohr,",  D(L),M(CL)  ",696	,-	,2	,0.8	,67	
Jeremy Toljan,",  D(LR),M(LR)  ",1319	,-	,1	,0.3	,82.6	
Ferran Torres,",  AM(LR),FW  ",567	,2	,-	,2	,83	
Jonny Evans,",  D(CL)  ",810	,-	,-	,0.1	,89.4	
Benoît Costil,",  GK  ",1350	,-	,-	,-	,68.5	
Unai Simón,",  GK  ",1260	,-	,-	,-	,71.3	
Rayan Aït-Nouri,",  D(L),M(L)  ",667	,-	,-	,0.7	,82.7	
Toni Lato,",  D(L)  ",271	,1	,-	,0.6	,87.7	
Charalampos Lykogiannis,",  D(CL),M(L)  ",587	,1	,-	,0.7	,72	
Thierno Baldé,",  D(R)  ",802	,-	,-	,0.3	,84.9	
Dany Mota,",  FW  ",608	,2	,-	,0.7	,69.7	
Jonathan Burkardt,",  AM(CR),FW  ",537	,1	,2	,1.9	,71.9	
Yoane Wissa,",  AM(L),FW  ",637	,3	,1	,1.1	,75.4	
Anthony Caci,",  D(CLR),M(L)  ",617	,1	,-	,0.3	,74.1	
Nico González,",  DMC  ",513	,1	,-	,0.8	,89.9	
Duván Zapata,",  FW  ",512	,1	,-	,1.4	,69.1	
Cheikhou Kouyaté,",  D(CR),DMC  ",709	,1	,-	,0.4	,77.6	
Josuha Guilavogui,",  D(C),M(C)  ",451	,1	,-	,0.2	,78.6	
Tonny Vilhena,",  D(L),M(CL)  ",987	,1	,1	,1.4	,79.3	
Antonio Rüdiger,",  D(CR)  ",683	,1	,-	,0.6	,92.8	
Filip Djuricic,",  AM(CLR),FW  ",1017	,2	,-	,0.5	,77.9	
Nacho Vidal,",  D(R)  ",892	,-	,-	,0.6	,76.6	
Alexis Blin,",  DMC  ",687	,-	,-	,0.1	,83.6	
Gerson,",  M(CLR)  ",420	,2	,-	,0.9	,82.4	
Lassine Sinayoko,",  AM(R)  ",866	,-	,2	,1.6	,75.1	
Haris Belkebla,",  DMC  ",1087	,1	,-	,0.4	,84.3	
Unai Núñez,",  D(C)  ",1170	,-	,-	,0.5	,88.6	
Francis Coquelin,",  M(CLR)  ",520	,1	,-	,0.4	,86.8	
Pedro Chirivella,",  DMC  ",1202	,-	,-	,0.9	,85.2	
Gabriel Paulista,",  D(CR)  ",579	,1	,-	,1.1	,88.2	
Konstantinos Tsimikas,",  D(L)  ",365	,-	,3	,0.3	,85	
Takehiro Tomiyasu,",  D(CLR)  ",406	,-	,-	,0.1	,83.8	
Souleyman Doumbia,",  D(L),M(L)  ",1078	,-	,-	,0.3	,81	
Stole Dimitrievski,",  GK  ",1170	,-	,-	,-	,54.2	
Emanuele Valeri,",  M(L)  ",1007	,1	,-	,1.1	,61.1	
Rubén Sobrino,",  AM(CLR),FW  ",801	,1	,-	,1.2	,77.3	
Wilson Odobert,",  Forward  ",694	,3	,2	,0.9	,79.6	
Nemanja Radonjic,",  M(CLR)  ",697	,2	,1	,2	,68.8	
Yan Couto,",  D(R),M(R)  ",505	,-	,-	,0.2	,81.4	
Agustín Marchesín,",  GK  ",1260	,-	,-	,-	,67.8	
Arkadiusz Reca,",  D(L),M(L)  ",792	,1	,1	,0.5	,72.3	
Arnaud Nordin,",  AM(CLR),FW  ",811	,3	,1	,1.2	,79.1	
Eric Martel,",  DMC  ",768	,-	,-	,0.8	,81.2	
Leonardo Spinazzola,",  D(LR),M(L)  ",739	,-	,1	,0.3	,77.2	
Pape Gueye,",  DMC  ",338	,1	,-	,0.7	,83.8	
Stephan El Shaarawy,",  M(CLR),FW  ",340	,1	,-	,0.9	,81.3	
Matheus Nunes,",  AM(C)  ",862	,-	,1	,1.3	,81.2	
Renato Tapia,",  D(C),DMC  ",641	,-	,-	,0.2	,87.7	
Fernando Calero,",  D(C)  ",875	,-	,-	,0.2	,83.9	
Hugo Magnetti,",  DMC  ",587	,-	,-	,0.4	,83.9	
Thomas Ouwejan,",  D(L),M(L)  ",743	,-	,1	,0.5	,69.1	
Mathias Pereira Lage,",  M(CLR)  ",950	,-	,1	,1.1	,72.8	
Adam Hlozek,",  AM(CL),FW  ",577	,1	,2	,0.9	,82.6	
Sebastiano Luperto,",  D(C)  ",1086	,-	,-	,0.4	,84.5	
﻿András Schäfer,",  M(C)  ",707	,-	,-	,0.5	,76.3	
Ezri Konsa,",  D(CR)  ",1261	,-	,-	,0.2	,83.8	
Mathías Olivera,",  D(L),M(L)  ",376	,1	,-	,0.2	,85.6	
Joe Worrall,",  D(C)  ",713	,-	,-	,0.2	,82.9	
Matty Cash,",  D(R),M(CLR)  ",1032	,-	,-	,0.5	,74.4	
Daniel Podence,",  AM(CLR),FW  ",1022	,2	,-	,1.6	,69.5	
Pablo Fornals,",  M(CLR)  ",781	,1	,-	,0.9	,79.3	
Martín Satriano,",  FW  ",878	,1	,1	,1.7	,71.6	
Robin Koch,",  D(C),DMC  ",1216	,-	,-	,0.4	,77.8	
Lewis Dunk,",  D(C)  ",1260	,-	,-	,0.6	,89.2	
Christian Groß,",  D(C),DMC  ",911	,1	,-	,0.2	,82.8	
Razvan Marin,",  M(C)  ",980	,-	,-	,0.7	,84.8	
Piero Hincapié,",  D(CL)  ",1011	,1	,-	,0.6	,83.3	
Adam Smith,",  D(LR),M(LR)  ",1306	,-	,1	,0.2	,80.2	
Clerc,",  D(L),M(L)  ",864	,-	,1	,0.5	,76.5	
Andrea Pinamonti,",  FW  ",1162	,3	,-	,2.3	,63.3	
Robert Sánchez,",  GK  ",1260	,-	,-	,-	,67.8	
Lukás Hrádecky,",  GK  ",1260	,-	,-	,-	,69.9	
Brandon Soppy,",  D(R),M(LR)  ",530	,-	,3	,0.5	,78.8	
Yan Valery,",  D(CR),M(R)  ",672	,-	,-	,0.4	,75	
Rubén Peña,",  D(R),M(LR)  ",566	,-	,1	,0.9	,77	
Lucas Perrin,",  D(C)  ",551	,-	,-	,0.1	,84.1	
Gianluca Scamacca,",  FW  ",758	,2	,-	,1.9	,66.7	
Roberto Soriano,",  AM(CLR)  ",635	,-	,3	,0.4	,79.4	
Hugo Ekitike,",  FW  ",224	,1	,2	,0.7	,87.4	
Kevin Vogt,",  D(CR),M(C)  ",1193	,-	,-	,-	,89.5	
Miguel Gutiérrez,",  D(L)  ",915	,-	,2	,0.6	,82.9	
Antonio Candreva,",  M(CLR)  ",1172	,2	,1	,1.2	,81.7	
Takumi Minamino,",  AM(CLR),FW  ",333	,1	,3	,0.8	,76.6	
Miha Blazic,",  D(C)  ",856	,2	,-	,0.4	,87.5	
Linton Maina,",  M(CLR),FW  ",811	,1	,3	,1.3	,74.9	
Luka Jovic,",  FW  ",750	,3	,-	,2	,75.4	
Matt Targett,",  D(L),M(L)  ",421	,-	,-	,0.1	,80.4	
Kevin Agudelo,",  AM(CR),FW  ",983	,-	,-	,0.8	,73.9	
James Milner,",  D(LR),M(CLR)  ",464	,-	,1	,0.4	,78.8	
Dimitri Liénard,",  D(L),M(CL)  ",747	,-	,-	,0.8	,78.1	
Lucas Olaza,",  D(L),M(L)  ",641	,-	,-	,0.2	,83.3	
Valentino Lazaro,",  D(R),M(CLR)  ",909	,-	,1	,0.5	,78.3	
Luca Zanimacchia,",  AM(C)  ",661	,-	,-	,1.5	,73.9	
Ante Budimir,",  FW  ",557	,1	,-	,1.7	,61.6	
Sergio Herrera,",  GK  ",900	,-	,-	,-	,58.1	
Maximilian Bauer,",  D(C)  ",1038	,-	,-	,0.6	,71.7	
Martin Braithwaite,",  AM(CLR),FW  ",706	,3	,1	,1.9	,63.8	
Álex Fernández,",  M(CL),FW  ",701	,2	,-	,0.8	,88	
Federico Ceccherini,",  D(C)  ",641	,1	,-	,0.4	,78.8	
Tyrick Mitchell,",  D(L)  ",980	,-	,2	,0.1	,72	
Adama Traoré,",  M(CLR),FW  ",621	,1	,-	,0.7	,73.1	
Cristian Buonaiuto,",  Midfielder  ",365	,-	,-	,1.7	,74.4	
Álvaro Aguado,",  M(C)  ",747	,-	,2	,0.5	,86.5	
Alexander Schwolow,",  GK  ",1350	,-	,-	,0.1	,60.2	
Isak Hien,",  D(C)  ",880	,-	,-	,0.1	,74.5	
Jakub Kaminski,",  M(LR)  ",804	,-	,2	,1	,72.5	
Jean-Victor Makengo,",  AM(CL)  ",645	,-	,1	,0.5	,85.9	
Alejandro Pozo,",  D(R),M(R)  ",579	,-	,1	,0.3	,72.8	
Arthur Cabral,",  FW  ",496	,2	,1	,1.4	,76.3	
Erik Lamela,",  AM(CLR),FW  ",958	,3	,-	,1.8	,80.5	
Cristhian Stuani,",  AM(CLR),FW  ",413	,4	,-	,1.3	,75.9	
Iván Sánchez,",  AM(CR)  ",556	,-	,-	,0.8	,84.8	
Yoann Salmier,",  D(C)  ",1074	,1	,-	,0.6	,84.5	
Chris Mepham,",  D(C)  ",1252	,-	,-	,0.4	,83.4	
Pietro Terracciano,",  GK  ",1080	,-	,-	,-	,72.8	
Fábio Carvalho,",  AM(CL)  ",335	,2	,-	,1	,83.2	
Marius Bülter,",  D(R),M(CLR),FW  ",1177	,3	,-	,1.9	,68.3	
Mads Pedersen,",  D(L),M(CL)  ",692	,-	,-	,0.1	,69.5	
Mattias Svanberg,",  M(CL)  ",626	,-	,2	,0.3	,71.6	
Darko Brasanac,",  M(CR)  ",482	,1	,1	,0.4	,84.4	
Milan Skriniar,",  D(C)  ",1280	,-	,-	,0.5	,92.1	
Nahuel Molina,",  D(R),M(R)  ",927	,-	,-	,0.5	,78.3	
Théo Le Bris,",  Defender  ",816	,1	,-	,0.4	,80.9	
