Name,Positions,KeyPasses,Dribble,Dispossed,BadControl
David da Costa,",  AM(CL)  ",1.4	,1.5	,1.3	,1.5	
Roberto Pereyra,",  M(CLR),FW  ",1.5	,0.9	,0.9	,1.2	
Merih Demiral,",  D(C)  ",0.2	,-	,0.2	,0.3	
Mikel Vesga,",  DMC  ",1	,0.2	,0.2	,1.4	
Olivier Giroud,",  FW  ",0.8	,0.2	,0.5	,1.8	
Mohamed Camara,",  DMC  ",0.7	,1	,0.7	,1.1	
Aarón Martín,",  D(L),M(L)  ",1.3	,0.5	,0.7	,0.5	
Nikola Milenkovic,",  D(CR)  ",0.5	,-	,-	,0.3	
Marquinhos,",  D(CR),DMC  ",0.2	,-	,0.1	,0.1	
Benoît Badiashile,",  D(C)  ",0.1	,-	,-	,0.3	
Alexander Nübel,",  GK  ",0.1	,-	,-	,0.1	
Suat Serdar,",  M(CLR)  ",0.6	,1.4	,1.1	,1.3	
Oliver Baumann,",  GK  ",0.1	,-	,-	,-	
Destiny Udogie,",  M(L)  ",0.9	,0.8	,1.1	,2.8	
Chancel Mbemba,",  D(CLR),DMC  ",0.1	,0.3	,0.3	,0.5	
Davide Frattesi,",  DMC  ",0.9	,1.3	,1.3	,1.6	
Chimy Avila,",  AM(LR),FW  ",1	,0.8	,0.9	,1.8	
Deiver Machado,",  M(L)  ",0.5	,0.2	,0.2	,1.2	
Julian Ryerson,",  D(R),M(CLR)  ",0.6	,1.2	,1.1	,0.8	
Joe Willock,",  M(C)  ",1.1	,0.4	,0.8	,2.1	
Alexander Djiku,",  D(CR),DMC  ",0.3	,0.1	,0.3	,0.4	
Timothy Castagne,",  D(CLR),M(LR)  ",0.7	,0.2	,0.6	,0.9	
Hamza Sakhi,",  AM(C)  ",1.8	,0.6	,0.5	,0.9	
Nick Pope,",  GK  ",-	,-	,-	,-	
Ismaily,",  D(L)  ",0.9	,0.3	,0.8	,0.8	
Christopher Lenz,",  D(L),M(L)  ",1	,0.3	,0.3	,0.4	
Kingsley Coman,",  M(LR),FW  ",1.8	,1.4	,1	,1.8	
André Almeida,",  M(C)  ",0.9	,0.6	,1.5	,0.8	
Ademola Lookman,",  AM(CLR),FW  ",1.2	,0.9	,1.6	,1.1	
Exequiel Palacios,",  M(C)  ",0.6	,-	,1.1	,0.8	
Nicolas Höfler,",  D(C),DMC  ",0.2	,0.5	,0.3	,0.5	
Wladimiro Falcone,",  GK  ",-	,-	,-	,-	
Neto Borges,",  D(L),M(L)  ",1.3	,1.3	,0.8	,0.8	
Simone Bastoni,",  D(L),DMC,M(L)  ",1.4	,0.3	,1	,1.1	
Sandro Tonali,",  DMC  ",1.8	,0.2	,0.5	,1.3	
Carlos Augusto,",  D(L),M(L)  ",0.2	,1.1	,0.8	,1.1	
Junior Messias,",  AM(CR),FW  ",0.7	,0.9	,0.5	,1.2	
James Ward-Prowse,",  M(CR)  ",2	,0.2	,0.8	,0.8	
Bryan Cristante,",  D(C),M(C)  ",0.5	,0.3	,0.3	,0.9	
Christian Kouamé,",  AM(LR),FW  ",1.6	,0.7	,1.5	,3.4	
Mason Mount,",  M(CLR)  ",1.3	,0.8	,1.4	,1.7	
Franck Honorat,",  M(LR),FW  ",2.3	,0.5	,0.7	,1.9	
William Saliba,",  D(C)  ",0.2	,0.3	,0.2	,0.6	
Dani Olmo,",  AM(CLR),FW  ",1.6	,1	,1.5	,2.1	
Dominic Solanke,",  FW  ",0.5	,0.8	,2	,3.5	
Kevin Gameiro,",  FW  ",0.9	,0.6	,0.8	,1.5	
Moi Gómez,",  M(CLR)  ",2.1	,0.8	,0.5	,1	
Gabriel Strefezza,",  M(LR)  ",0.8	,1.2	,1.4	,2.5	
Raúl Albiol,",  D(C)  ",-	,0.1	,0.2	,0.2	
Junya Ito,",  AM(LR),FW  ",1.9	,1.3	,1.3	,2.9	
Trent Alexander-Arnold,",  D(R),M(R)  ",1.9	,0.2	,0.4	,0.9	
Jesper Lindstrøm,",  AM(CR),FW  ",0.7	,1	,1.7	,1.8	
Manuel Neuer,",  GK  ",-	,-	,-	,0.1	
Philipp Hofmann,",  FW  ",0.9	,0.4	,1.5	,1.9	
Marko Arnautovic,",  AM(CLR),FW  ",1.5	,0.5	,1.2	,2.2	
Valentin Rongier,",  D(R),M(C)  ",1	,0.5	,0.5	,0.8	
Luigi Sepe,",  GK  ",-	,-	,-	,0.1	
Ermedin Demirovic,",  AM(L),FW  ",0.9	,0.6	,1.1	,1.9	
Matthijs de Ligt,",  D(C)  ",0.2	,-	,-	,0.3	
Edgar González,",  D(C),DMC  ",0.1	,0.1	,0.1	,0.2	
Georginio Rutter,",  FW  ",0.7	,2.1	,1.7	,3.1	
Danilo Pereira,",  D(C),DMC  ",0.1	,0.1	,0.5	,0.4	
Mario Götze,",  M(CLR),FW  ",1.3	,0.6	,1	,1.6	
Jonathan Gradit,",  D(CR)  ",0.4	,0.5	,0.2	,0.7	
Mërgim Berisha,",  AM(C),FW  ",1.5	,0.3	,1.7	,2.3	
Morten Hjulmand,",  DMC  ",0.6	,0.3	,0.7	,0.9	
Matteo Politano,",  AM(CLR),FW  ",1.5	,1.1	,0.8	,1.4	
Tammy Abraham,",  FW  ",1.1	,0.5	,0.7	,2.1	
Armel Bella-Kotchap,",  D(C)  ",0.2	,0.2	,0.4	,0.6	
Ridle Baku,",  D(R),M(CR)  ",1	,0.4	,0.5	,1.7	
Angeliño,",  D(L),M(L)  ",2.1	,0.4	,0.6	,0.8	
Sven Botman,",  D(C)  ",0.5	,-	,-	,0.2	
Etienne Capoue,",  D(C),M(CL)  ",0.3	,0.8	,0.5	,1	
David Soria,",  GK  ",0.1	,-	,-	,-	
Manu Koné,",  DMC  ",0.6	,1.6	,1.5	,2.1	
Rúben Dias,",  D(C)  ",0.2	,0.3	,-	,-	
Nicolò Rovella,",  DMC  ",1.4	,0.2	,0.4	,0.9	
Marcus Rashford,",  AM(CLR),FW  ",0.7	,1.3	,1.2	,2.4	
