Name,Positions,AveragePasses,Crosses,LongBalls,ThroughBalls
Alphonso Davies,",  D(L),M(LR)  ",54.3	,0.2	,1.3	,-	
Nuno Mendes,",  D(L),M(L)  ",31.9	,0.2	,0.6	,0.2	
Paulo Otávio,",  D(L),M(L)  ",41	,0.9	,2	,0.1	
Pau López,",  GK  ",31.2	,-	,6.3	,-	
Alassane Plea,",  AM(CLR),FW  ",30.1	,0.5	,1.9	,0.4	
Pierre-Emile Højbjerg,",  M(C)  ",66.1	,0.2	,4.6	,0.3	
Toni Kroos,",  M(C)  ",80.4	,1.3	,6.4	,0.1	
Florian Kainz,",  AM(CLR)  ",25.9	,2.1	,1.1	,0.2	
Casemiro,",  DMC  ",44.8	,0.2	,3.3	,0.1	
Wilfried Zaha,",  AM(LR),FW  ",24.7	,0.2	,0.3	,0.1	
Jeremie Frimpong,",  D(R),M(R)  ",27.5	,0.4	,0.6	,-	
Florian Tardieu,",  M(C)  ",57.4	,1.1	,4.5	,-	
Alexis Mac Allister,",  M(CL),FW  ",57.6	,0.4	,2.2	,-	
Leon Goretzka,",  M(CR)  ",34.5	,-	,0.7	,0.1	
Leandro Trossard,",  M(CLR),FW  ",30.5	,0.7	,1.6	,0.2	
Callum Wilson,",  FW  ",9.3	,0.1	,0.1	,-	
Yeray Álvarez,",  D(C)  ",53.2	,0.3	,3.8	,0.1	
Pascal Struijk,",  D(CL),DMC  ",42.3	,0.2	,0.6	,-	
Aleksandr Golovin,",  M(CLR)  ",26.1	,0.8	,1.1	,0.1	
Ivan Provedel,",  GK  ",32.9	,-	,8.1	,-	
Felipe Anderson,",  M(CLR),FW  ",31.2	,0.1	,0.5	,-	
Nicolò Barella,",  AM(C)  ",45.1	,0.5	,1.6	,0.1	
Thiago Silva,",  D(C)  ",74.7	,-	,5	,-	
Jonathan Clauss,",  D(R),M(R)  ",33.7	,1	,0.9	,-	
Ardian Ismajli,",  D(C)  ",36.9	,-	,2	,-	
Téji Savanier,",  M(C)  ",51.2	,1.8	,4.8	,0.2	
Juan Cuadrado,",  D(R),M(CLR),FW  ",36.6	,1.6	,2.6	,-	
Granit Xhaka,",  D(L),M(C)  ",44.5	,0.1	,2	,-	
Alisson,",  GK  ",30.4	,-	,4.4	,-	
Jaka Bijol,",  D(C),M(C),FW  ",35.9	,-	,2	,0.1	
Alessio Romagnoli,",  D(CL)  ",49	,-	,3.4	,0.1	
Enes Ünal,",  FW  ",20.3	,0.1	,0.3	,0.1	
Ramy Bensebaïni,",  D(CL),DMC,M(L)  ",40.3	,0.1	,2.2	,0.2	
Fabiano Parisi,",  D(L)  ",35.1	,0.6	,2	,-	
Manuel Locatelli,",  M(C)  ",44.4	,-	,3.7	,-	
Frederik Rønnow,",  GK  ",36.2	,-	,7.5	,-	
Mama Baldé,",  D(R),M(CLR),FW  ",15.4	,0.1	,0.4	,-	
Nico Schlotterbeck,",  D(C)  ",69.7	,0.1	,5.6	,0.1	
Benjamin Bourigeaud,",  M(CLR)  ",42.3	,1.9	,2.1	,0.1	
Theo Hernández,",  D(L),M(L)  ",39.7	,1	,2.2	,0.1	
Mats Hummels,",  D(C)  ",62.3	,0.1	,5.8	,-	
Rasmus Nicolaisen,",  D(C)  ",45	,-	,2.9	,-	
Mitchell Weiser,",  D(R),M(R)  ",32.1	,0.5	,1.9	,0.3	
Ibañez,",  D(C)  ",56.5	,-	,3.5	,0.1	
Dusan Vlahovic,",  FW  ",17.1	,0.2	,0.8	,-	
Sergi Darder,",  M(CL)  ",39.5	,1.4	,3.6	,0.1	
Rúben Neves,",  DMC  ",61.3	,0.1	,7.1	,-	
